ts,run_id,engine,model,prompt_version,intent,query,status,latency_ms,input_tokens,output_tokens,cost_usd,raw_excerpt,vendors,links,domains,extreme_mentioned,extreme_rank
2025-08-12T22:21:23Z,run_openai_1755037291996,openai,gpt-4o-2024-08-06,v1,commercial,Who are the top enterprise networking vendors?,ok,8324,104,297,0.00646,"As of the latest data available, the top enterprise networking vendors typically include:

1. **Cisco Systems**: Cisco is a dominant player in the networking industry, known for its comprehensive range of products including routers, switches, and security solutions. They are widely used in enterprise environments for their reliability and extensive support options.

2. **Juniper Networks**: Juniper is another major vendor, offering high-performance networking solutions. They are well-regarded for their routers, switches, and network security products.

3. **Arista Networks**: Arista has gained a strong reputation, particularly in the data center networking space, with their high-speed, low-latency switches and software-driven cloud networking solutions.

4. **Hewlett Packard Enterprise (HPE) / Aruba Networks**: HPE, through its Aruba Networks division, provides a wide range of networking products, including wireless solutions and network management software, which are popular in both enterprise and campus environments.

5. **Huawei**: Huawei offers a broad portfolio of networking products and has a significant presence in global markets, although their presence in some regions is affected by geopolitical factors.

6. **Extreme Networks**: Known for their focus on software-driven networking solutions, Extreme Networks provides a range of wired and wireless products and services.

These vendors are frequently cited in industry reports and analyses, such as those from Gartner's ","[{""name"": ""Cisco"", ""relevance"": null, ""first_pos"": 96}, {""name"": ""Juniper"", ""relevance"": null, ""first_pos"": 374}, {""name"": ""Arista"", ""relevance"": null, ""first_pos"": 564}, {""name"": ""HPE"", ""relevance"": null, ""first_pos"": 798}, {""name"": ""Aruba"", ""relevance"": null, ""first_pos"": 805}, {""name"": ""Huawei"", ""relevance"": null, ""first_pos"": 1041}, {""name"": ""Extreme Networks"", ""relevance"": null, ""first_pos"": 1239}]",[],[],True,7.0
2025-08-12T22:26:39Z,run_openai_1755037606094,openai,gpt-4o-2024-08-06,v1,commercial,Who are the top enterprise networking vendors?,ok,6477,168,362,0.00808,"As of the latest data, the top enterprise networking vendors are typically recognized for their comprehensive solutions and market presence. Here are some of the leading companies in this space:

1. **Cisco Systems, Inc.**: Cisco is a dominant player in the networking industry, offering a wide range of products including routers, switches, and security solutions. For more information, visit their official website at https://www.cisco.com.

2. **Juniper Networks, Inc.**: Known for its high-performance networking solutions, Juniper provides products that include routers, switches, and network management software. More details can be found at https://www.juniper.net.

3. **Arista Networks, Inc.**: Arista is recognized for its software-driven cloud networking solutions for large data center and high-performance computing environments. Visit https://www.arista.com for more information.

4. **Hewlett Packard Enterprise (HPE)**: Through its Aruba Networks division, HPE offers a range of networking solutions including wireless and wired infrastructure. Check https://www.arubanetworks.com for more details.

5. **Huawei Technologies Co., Ltd.**: Huawei provides a broad portfolio of networking products and solutions, although its presence is more significant outside the U.S. due to geopolitical factors. Visit https://www.huawei.com for more information.

6. **Extreme Networks, Inc.**: Extreme Networks offers end-to-end networking solutions and has been expanding its portfolio through ac","[{""name"": ""Cisco"", ""relevance"": null, ""first_pos"": 201}, {""name"": ""Juniper"", ""relevance"": null, ""first_pos"": 449}, {""name"": ""Arista"", ""relevance"": null, ""first_pos"": 679}, {""name"": ""HPE"", ""relevance"": null, ""first_pos"": 928}, {""name"": ""Aruba"", ""relevance"": null, ""first_pos"": 948}, {""name"": ""Huawei"", ""relevance"": null, ""first_pos"": 1121}, {""name"": ""Extreme Networks"", ""relevance"": null, ""first_pos"": 1371}]","[""https://www.cisco.com."", ""https://www.juniper.net."", ""https://www.arista.com"", ""https://www.arubanetworks.com"", ""https://www.huawei.com"", ""https://www.extremenetworks.com.""]","[""www.cisco.com."", ""www.juniper.net."", ""www.arista.com"", ""www.arubanetworks.com"", ""www.huawei.com"", ""www.extremenetworks.com.""]",True,7.0
2025-08-12T22:41:29Z,run_perplexity_1755038489061,perplexity,,v1,product_research,What are the latest products and features from Extreme Networks in 2024?,error: ValueError,0,0,0,0.0,,[],[],[],False,
2025-08-12T22:41:41Z,run_perplexity_1755038501171,perplexity,,v1,test,Hello,error: ValueError,0,0,0,0.0,,[],[],[],False,
2025-08-12T22:42:20Z,run_perplexity_1755038540734,perplexity,,v1,product_research,What are the latest products from Extreme Networks?,error: ValueError,0,0,0,0.0,,[],[],[],False,
2025-08-12T22:44:10Z,run_perplexity_1755038650541,perplexity,perplexity,v1,test,Test query,ok,188,0,0,0.0,"Error: 400 - {""error"":{""message"":""Invalid model 'sonar-medium-online'. Permitted models can be found in the documentation at https://docs.perplexity.ai/guides/model-cards."",""type"":""invalid_model"",""code"":400}}",[],"[""https://docs.perplexity.ai/guides/model-cards.""]","[""docs.perplexity.ai""]",False,
2025-08-12T22:44:25Z,run_perplexity_1755038665430,perplexity,perplexity,v1,product_research,What are the latest products from Extreme Networks?,ok,154,0,0,0.0,"Error: 400 - {""error"":{""message"":""Invalid model 'sonar-medium'. Permitted models can be found in the documentation at https://docs.perplexity.ai/guides/model-cards."",""type"":""invalid_model"",""code"":400}}",[],"[""https://docs.perplexity.ai/guides/model-cards.""]","[""docs.perplexity.ai""]",False,
2025-08-12T22:44:59Z,run_perplexity_1755038705493,perplexity,sonar,v1,product_research,What are the latest products from Extreme Networks?,ok,6090,9,394,0.000403,,[],[],[],False,
2025-08-12T22:45:37Z,run_perplexity_1755038742594,perplexity,sonar,v1,product_research,What are the latest products from Extreme Networks?,ok,4833,9,367,0.000376,"The latest products from Extreme Networks center around their new **Extreme Platform ONE**, an AI-driven, unified network management platform launched in 2025 that simplifies networking, security, and automation across campus, data center, and edge environments[1][2][3][4].

Key new hardware products integrated with Platform ONE include:

- **Wi-Fi 7 Access Points**:
  - **AP4020** (Indoor Wi-Fi 7): Shipping now, general availability (GA) by September 2025.
  - **AP4060** (Outdoor Wi-Fi 7): Rugged design with external antenna support, GA September 2025[1].

- **Wired Switches**:
  - **7830 Switch**: High-density 100G/400G modular switch for scalable campus cores, GA Q3 2025.
  - **5120 Switch**: Cost-effective 10G switch optimized for IoT, GA May 2025.
  - **5320 Compact Switch**: PoE-enabled, silent switch for constrained environments like ships and medical facilities, available now.
  - **8730 Switch**: 400G-ready switch for IP fabric spine/leaf architectures, built for AI and traditional workloads, GA Q3 2025 with Platform ONE integration to follow[1].

These products are designed to deliver scalable, AI-integrated, and secure networking with enhanced automation and end-to-end visibility through Extreme Platform ONE, which reduces manual tasks by up to 90% using agentic AI for intelligent decision-making and troubleshooting[1][2][4].

In summary, Extreme Networks' latest offerings combine their new AI-powered Platform ONE with advanced Wi-Fi 7 access points and high-perfor","[{""name"": ""Extreme Networks"", ""relevance"": null, ""first_pos"": 25}]",[],[],True,1.0
2025-08-12T22:47:49Z,run_perplexity_1755038877833,perplexity,sonar,v1,product_research,What are the latest products from Extreme Networks?,ok,8662,161,784,0.000945,"The latest products from Extreme Networks center around their new AI-powered networking platform called **Extreme Platform ONE**, which is now generally available as of mid-2025. This platform integrates networking and security management into a single system with embedded AI to automate tasks, reduce manual effort by up to 90%, and speed up issue resolution by up to 98%. It supports simplified licensing and deployment and is already adopted by over 265 customers worldwide, including organizations like West Suffolk NHS Foundation Trust and Aldine ISD[https://www.extremenetworks.com/resources/blogs/extreme-platform-one-and-our-expanded-hardware-portfolio][https://www.extremenetworks.com/resources/blogs/extreme-networks-pioneers-the-new-era-of-ai-for-networking][https://www.crn.com/news/networking/2025/extreme-networks-ai-infused-network-management-platform-goes-ga].

Alongside Extreme Platform ONE, Extreme Networks has launched a broad portfolio of new hardware products designed to be natively integrated with the platform’s AI-powered management capabilities. Key new hardware includes:

- **Wi-Fi 7 Access Points**:
  - AP4020 (Indoor Wi-Fi 7), shipping now, general availability by September 2025.
  - AP4060 (Outdoor Wi-Fi 7), rugged design with external antenna support, GA in September 2025.

- **Wired Switches**:
  - 7830 Switch: High-density 100G/400G modular switch for scalable campus cores, GA in Q3 2025.
  - 5120 Switch: Cost-effective 10G switch optimized for IoT, GA in ","[{""name"": ""Extreme Networks"", ""relevance"": null, ""first_pos"": 25}]","[""https://www.extremenetworks.com/resources/blogs/extreme-platform-one-and-our-expanded-hardware-portfolio"", ""https://www.extremenetworks.com/resources/blogs/extreme-networks-pioneers-the-new-era-of-ai-for-networking"", ""https://www.crn.com/news/networking/2025/extreme-networks-ai-infused-network-management-platform-goes-ga"", ""https://thecuberesearch.com/extreme-networks-innovates-with-platform-one/"", ""https://www.extremenetworks.com/resources/blogs/extreme-platform-one-and-our-expanded-hardware-portfolio"", ""https://www.extremenetworks.com/resources/blogs/extreme-platform-one-and-our-expanded-hardware-portfolio"", ""https://www.extremenetworks.com/resources/blogs/extreme-networks-pioneers-the-new-era-of-ai-for-networking"", ""https://zkresearch.com/extreme-networks-goes-big-on-platform-and-ai-at-connect-2025/"", ""https://www.extremenetworks.com/resources/blogs/extreme-platform-one-and-our-expanded-hardware-portfolio"", ""https://thecuberesearch.com/extreme-networks-innovates-with-platform-one/"", ""https://www.extremenetworks.com/resources/blogs/extreme-networks-pioneers-the-new-era-of-ai-for-networking"", ""https://zkresearch.com/extreme-networks-goes-big-on-platform-and-ai-at-connect-2025/"", ""https://www.crn.com/news/networking/2025/extreme-networks-ai-infused-network-management-platform-goes-ga""]","[""www.extremenetworks.com"", ""www.extremenetworks.com"", ""www.crn.com"", ""thecuberesearch.com"", ""www.extremenetworks.com"", ""www.extremenetworks.com"", ""www.extremenetworks.com"", ""zkresearch.com"", ""www.extremenetworks.com"", ""thecuberesearch.com"", ""www.extremenetworks.com"", ""zkresearch.com"", ""www.crn.com""]",True,1.0
2025-08-15T21:03:52Z,run_perplexity_1755291839653,perplexity,sonar,v1,commercial,Extreme Networks Platform One. One of the best in the industry?,ok,7559,165,539,0.000704,"Extreme Networks Platform ONE is widely regarded as a leading enterprise connectivity platform that integrates networking, security, and AI into a single, simplified, and automated experience. It is designed to reduce complexity by unifying multiple domains—network, security, and inventory management—under one platform with a radically simplified licensing model and AI-powered automation that accelerates workflows from hours to minutes. The platform emphasizes zero-touch provisioning, zero-trust security, and multi-domain visualization to improve operational efficiency and security posture.

Key strengths of Extreme Platform ONE include:

- **All-in-one integration:** Combines networking, security, and AI with a unified workspace and simplified licensing, reducing the need for multiple disjointed tools and interfaces.  
- **AI-driven automation:** Uses conversational, multimodal, and agentic AI to automate complex networking and security tasks, enabling faster issue resolution and operational agility.  
- **Zero-trust security:** Provides cloud-managed Zero Trust Network Access (ZTNA) and network access control in a single interface, enhancing security without complicating management.  
- **Multi-layer visualization:** Offers comprehensive views across physical, access, fabric, RF, and service layers to quickly identify and correlate network issues.  
- **Simplified licensing:** Features three license tiers (Standard, Advanced, Premium) tailored by device type, making it easi","[{""name"": ""Extreme Networks"", ""relevance"": null, ""first_pos"": 0}]","[""https://www.extremenetworks.com/platform-one"", ""https://www.extremenetworks.com/resources/at-a-glance/extreme-platform-one"", ""https://www.dlt.com/sites/default/files/resource-attachments/2025-07/platform-one-FAQs_co-branded.pdf"", ""https://www.extremenetworks.com/resources/video/extreme-platform-one-overview"", ""https://documentation.extremenetworks.com/Switch%20Engine%20v33.4.1%20User%20Guide/content/documents/Switch_Operating_Systems/Switch_Engine/User_Guide/extreme_platform_one_support.shtml""]","[""www.extremenetworks.com"", ""www.extremenetworks.com"", ""www.dlt.com"", ""www.extremenetworks.com"", ""documentation.extremenetworks.com""]",True,1.0
